,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,300,300,300,555,555,555,555,555,800,"1,110","1,095","1,280","1,765","1,805","1,755","1,705","1,705","1,705","1,705","1,705","1,705","1,705","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100"
Gabon,50,50,80,100,250,275,400,500,480,500,485,725,761,761,652,580,587,543,600,435,471,464,482,547,518,678,733,960,930,959,860,876,768,662,"1,400","1,470","2,800","2,672","2,565","2,565","2,420","2,400","2,370","2,285","2,190","2,146","1,995","1,995","1,995","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000"
Libya,"2,000","3,000","4,500","7,000","9,000","10,000","20,000","29,200","30,000","28,866","27,655","26,648","25,829","25,036","24,481","23,942","23,236","22,484","21,761","20,999","20,330","22,600","22,186","21,784","21,425","21,300","22,800","22,800","22,800","22,800","22,800","22,800","22,800","22,800","22,800","29,500","29,500","29,500","29,500","29,500","36,000","36,000","36,000","39,126","39,126","41,464","41,464","43,663","44,271","46,422","47,097","48,014","48,472","48,363","48,363","48,363","48,363","48,363","48,363","48,363","48,363","48,363","48,363"
Nigeria,150,300,400,500,"1,000","3,000","3,500","3,550","4,000","5,000","9,300","11,680","15,000","20,000","20,900","20,200","19,445","18,700","18,200","17,400","16,700","16,500","16,750","16,550","16,650","16,600","16,066","15,980","16,000","16,000","17,100","20,000","20,991","20,991","20,991","20,828","20,828","20,828","22,500","29,000","29,000","31,506","34,349","35,255","35,876","36,220","37,200","37,200","37,200","37,200","37,200","36,247","37,139","37,071","37,448","37,062","37,453","37,453","36,972","36,890","36,910","37,050","36,967"
Sudans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,300,300,300,300,300,300,300,300,300,300,300,300,300,300,262,262,262,600,"6,000","6,000","6,000","6,405","6,402","6,615","6,700","6,700","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000"
Others,10,10,15,15,55,315,313,377,478,509,559,609,"1,008","1,007","1,107","1,214","1,184","1,200","1,154","1,203","2,027","2,337","2,610","2,665","2,621","2,643","2,638","2,631","2,544","2,556","2,431","1,111","1,177","1,119","1,095","1,137","1,101","1,058","1,033","1,051","2,068","2,156","2,130","2,279","2,310","2,789","2,915","3,892","3,873","3,721","5,366","5,220","6,720","6,870","6,870","6,870","6,870","6,870","5,759","5,759","5,759","5,759","5,759"
Russia2,"23,579","23,500","29,000","32,000","33,000","35,000","38,000","36,000","60,000","58,000","58,000","55,286","52,412","49,339","56,341","58,878","59,900","59,000","58,438","59,878","63,000","63,000","63,000","63,000","63,000","62,685","62,983","61,663","63,161","69,384","65,280","64,990","64,580","64,279","63,938","63,659","54,086","55,143","55,757","59,217","59,639","64,578","73,949","77,345","76,772","77,712","79,306","72,970","75,954","76,650","77,403","77,403","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000"
Other Eurasia,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"8,415","8,415","28,018","28,018","28,018","48,440","48,440","48,440","48,440","48,648","48,702","38,874","38,874","38,874","38,874","38,874","38,874","38,874","38,874","38,874","38,874","38,874","38,874","38,874","38,874","38,874","38,874"
Azerbaijan,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"1,178","1,178","1,178","1,178","1,178","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000"
Belarus,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198
Kazakhstan,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"5,417","5,417","25,020","25,020","25,020","39,620","39,620","39,620","39,620","39,828","39,828","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000"
Turkmenistan,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,546,546,546,546,546,546,546,546,546,546,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
Ukraine,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395
Uzbekistan`,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,594,594,594,594,594,594,594,594,594,594,594,594,594,594,594,594,594,594,594,594,594,594,594,594,594,594,594
Others,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
